row ID,row m/z,row retention time,NEG_004_Acetylportentol.mzXML Peak area,NEG_007_12_Desoxydiacetylpyxinol.mzXML Peak area,NEG_008_12_Desoxypyxinol.mzXML Peak area,NEG_002_2_Hydroxy_4_6_dimethoxyacetophenone.mzXML Peak area,NEG_011_Bourgeanic_acid.mzXML Peak area,NEG_012_Caperatic_acid.mzXML Peak area
361,180.9725876,3.088025,0.0,0.0,0.0,3181593.018,0.0,0.0
362,315.18198650000005,3.125344444,310709.7032,1085680.939,1038530.775,1702727.865,0.0,0.0
365,180.97229,8.95505,0.0,0.0,0.0,2647017.646,3049162.6610000003,0.0
366,178.97697069999998,3.085416667,0.0,0.0,0.0,2713735.587,0.0,0.0
367,151.03898180000002,8.965357143,0.0,0.0,938434.5522,4053157.727,0.0,655714.5669
368,445.0846863,6.679075,960334.1574,2106962.119,1994734.974,1646103.1069999998,215766.8204,0.0
370,471.2029419,5.869061905,0.0,0.0,0.0,788077.2395,0.0,1160844.071
372,307.85628760000003,0.016211111,0.0,0.0,0.0,3807970.922,0.0,0.0
373,967.1957855,7.497552082999999,0.0,0.0,0.0,2195918.89,0.0,0.0
374,521.0813163,7.47645,0.0,0.0,0.0,2305838.872,0.0,1505150.745
377,803.1065199,7.969287653999999,0.0,0.0,0.0,1733314.176,0.0,1067391.945
379,307.8560009,0.0947354169999999,0.0,0.0,0.0,2821995.874,0.0,1867014.459
380,803.1059011,7.262008333,0.0,0.0,0.0,1389634.517,0.0,0.0
381,320.8868195,0.36396,0.0,0.0,0.0,3620081.526,0.0,1592617.6630000002
382,256.9552231,3.1228958330000003,0.0,0.0,0.0,2235311.547,0.0,0.0
384,375.1095795,4.424856667,0.0,0.0,0.0,1550521.632,851225.6417,0.0
385,667.1412475999999,7.744638332999999,1028558.625,761091.5101,1662684.86,1495917.502,0.0,0.0
386,352.8541473,8.941239999999999,0.0,0.0,0.0,1755529.629,0.0,0.0
387,307.8567963,0.357957143,0.0,0.0,0.0,3830372.112,0.0,0.0
388,167.0348267,0.116583333,0.0,0.0,0.0,3126151.895,0.0,0.0
392,234.81943230000005,8.4000875,0.0,0.0,0.0,1302479.408,2171755.227,1378454.999
393,206.9725075,8.973697222,0.0,0.0,0.0,2007441.78,0.0,0.0
394,1026.163066,7.42475,0.0,0.0,0.0,1909281.859,0.0,0.0
396,336.8585815,8.963033333,0.0,0.0,0.0,1108262.627,0.0,0.0
397,180.9725418,3.645066667,0.0,0.0,0.0,1641728.775,0.0,0.0
398,239.9029668,3.523566667,0.0,0.0,0.0,1303376.519,0.0,0.0
400,242.9431432,8.951627777999999,0.0,0.0,0.0,1963261.994,3005641.822,0.0
401,182.988032,3.6663,0.0,0.0,0.0,1286719.945,0.0,0.0
402,636.1282882999999,7.470283332999999,0.0,0.0,0.0,937084.8742,0.0,0.0
403,285.90862660000005,0.117195833,0.0,0.0,0.0,2313686.103,1614448.085,0.0
404,313.07831830000003,7.868344444,0.0,0.0,0.0,959618.2193,0.0,0.0
405,951.2346671,7.867845237999999,0.0,0.0,0.0,843504.2266,0.0,0.0
408,304.91414960000003,0.150796078,0.0,0.0,0.0,1561244.6730000002,1420214.92,1705777.594
409,239.059082,3.0496,828372.7258,1193374.423,632697.8428,714304.4728,0.0,677960.3322
410,817.1628403,7.721506348999999,0.0,0.0,0.0,631020.2072,0.0,0.0
411,521.0825348000001,6.570991667,0.0,0.0,0.0,443554.3266,0.0,0.0
412,875.1459141,7.477626042000001,0.0,0.0,0.0,844503.4945,0.0,289541.3907
413,321.07718660000006,4.450391667,0.0,0.0,0.0,593499.3236,0.0,0.0
414,595.0997662999999,7.741245237999999,0.0,0.0,0.0,521255.5299,0.0,0.0
415,158.9773712,0.215738889,0.0,0.0,0.0,297566.2317,648615.2885,541431.3051
416,228.9916725,2.734075,0.0,0.0,0.0,529156.2778,0.0,0.0
417,343.08271569999994,5.820521428999999,0.0,0.0,0.0,190427.5728,0.0,212257.1696
418,315.25424780000003,4.209916667,0.0,0.0,0.0,400975.8465,0.0,0.0
419,230.9558204,0.212409524,0.0,0.0,0.0,773903.1905,0.0,0.0
420,191.0348765,3.073788889,0.0,0.0,0.0,626570.0171,0.0,0.0
421,239.0592829,4.604294444,0.0,0.0,0.0,157618.2724,1252925.299,0.0
422,326.083252,3.1587333330000003,0.0,0.0,0.0,115429.2248,0.0,0.0
424,422.9184374,5.006735714,0.0,0.0,0.0,103682.0165,0.0,0.0
425,717.1079526000001,6.80824058,0.0,0.0,0.0,107447.1371,0.0,0.0
